Handle,Title,Option1 Name,Option1 Value,Body (HTML)
doomsday,Doomsday,Genre,Action,"<p>The lethal Reaper virus spreads throughout Britain—infecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.</p>"
the-transporter,The Transporter,Genre,Action,"<p>Former Special Forces officer Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective.</p>"
new-years-eve,New Year's Eve,Genre,Comedy,<p>The lives of several couples and singles in New York intertwine over the course of New Year's Eve.</p>
goosebumps,Goosebumps,Genre,Kids & Family,"<p>After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.</p>"
braveheart,Braveheart,Genre,Drama,"<p>Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.</p>"
dark-waters,Dark Waters,Genre,Drama,"<p>A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.</p>"
gridiron-gang,Gridiron Gang,Genre,Drama,"<p>Under the leadership of their counselor, teenagers at a juvenile detention center gain self-esteem by playing football together. Based on a true story.</p>"
machete,Machete,Genre,Action,"<p>After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.</p>"
snitch,Snitch,Genre,Action,"<p>Construction company owner John Matthews learns that his estranged son, Jason, has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws, Jason has nothing to offer for leniency in good conscience. Desperately, John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee, John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources, wits and courage to survive.</p>"
dredd,Dredd,Genre,Action,"<p>In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.</p>"
mr-mrs-smith,Mr. & Mrs. Smith,Genre,Action,"<p>A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other.</p>"
the-sea-hawk,The Sea Hawk,Genre,Drama,"<p>The adventures of Oliver Tressilian, who goes from English gentry to galley slave to captain of a Moorish fighting ship.</p>"
night-shift,Night Shift,Genre,Horror,"<p>Amy begins her first night shift in a hotel with a murderous past. Witnessing terrifying events and trapped within a loop, Amy must find a way to escape the flesh obsessed murderer and save residents of the hotel.</p>"
mama,Mama,Genre,Horror,"<p>Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.</p>"
in-the-mouth-of-madness-collectors-edition,In The Mouth of Madness (Collector's Edition),Genre,Horror,<p>An insurance investigator visits a small town while looking into the strange disappearance of a popular horror novelist. He soon finds that the impact of the author’s books is far more than inspirational.</p>
knocked-up-unrated,Knocked Up (Unrated),Genre,Comedy,"<p>A slacker and a career-driven woman accidentally conceive a child after a one-night stand. As they try to make the relationship work, they must navigate the challenges of parenthood and their differences in lifestyle and maturity.</p>"
the-watch,The Watch,Genre,Comedy,"<p>Four everyday suburban guys come together as an excuse to escape their humdrum lives one night a week. But when they accidentally discover that their town has become overrun with aliens posing as ordinary suburbanites, they have no choice but to save their neighborhood – and the world – from total extermination.</p>"
v-h-s,V/H/S,Genre,Horror,"<p>When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire one rare VHS tape, they discover more found footage than they had bargained for.</p>"
midnight-movie,Midnight Movie,Genre,Horror,"<p>At a seedy theater in a sleepy suburban town, a group of friends get together for a midnight screening of an early 1970s horror film, unaware that the director has something more in store for them.</p>"
trainwreck,Trainwreck,Genre,Comedy,"<p>Ever since her father drilled into her head that monogamy isn't realistic, magazine writer Amy has made promiscuity her credo. As much as she enjoys an uninhibited life free of commitment, Amy is really in a rut. While writing a profile about charming and successful sports doctor Aaron Conners, she finds herself actually falling in love for the first time -- and what's more, Aaron seems to really like her too. Amy starts to wonder if it's time to clean up her act and face her fears.</p>"
hostel,Hostel,Genre,Horror,"<p>Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.</p>"
wish-upon-directors-cut,Wish Upon (Director's Cut),Genre,Horror,"<p>A teenage girl discovers a box with magical powers, but those powers comes with a deadly price.</p>"
clerks-ii,Clerks II,Genre,Comedy,"<p>A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.</p>"
bridesmaids,Bridesmaids,Genre,Comedy,"<p>Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.</p>"
the-proposal,The Proposal,Genre,Comedy,"<p>When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.</p>"
game-night,Game Night,Genre,Comedy,"<p>Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night.</p>"
dont-breathe,Don't Breathe,Genre,Horror,<p>A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.</p>
motel-hell,Motel Hell,Genre,Horror,"<p>Farmer Vincent Smith and his sister Ida run a motel attached to a farm where they capture unsuspecting travelers, bury them alive, fatten them up and then harvest their bodies as ingredients for his famous brand of ""smoked meats.""</p>"
the-editor,The Editor,Genre,Horror,<p>A one-time (and now one-handed) master film editor toiling in the cinematic sweatshops of 1970s Italy becomes the prime suspect in a series of brutal murders.</p>
